"dest_ip",count
"35.186.205.6",32413
"199.83.132.254",23508
"54.67.6.89",22372
"34.192.120.161",19680
"34.206.223.134",19620
"34.203.99.165",19619
"52.206.60.142",7420
"54.85.95.39",7378
"54.89.15.173",7291
"34.195.107.98",7212
"54.175.7.155",7092
"52.72.167.184",6749
"52.87.132.32",6746
"34.202.152.194",6712
"34.207.45.152",6267
"52.1.163.124",6046
"54.86.253.153",6024
"52.22.103.174",5976
"54.87.201.104",3832
"52.1.124.144",3821
"52.2.69.150",3817
"199.83.132.158",3630
"204.110.219.102",3314
"52.22.114.167",2664
"52.45.73.217",2661
"52.6.84.78",2656
"199.83.132.218",2556
"50.31.164.146",2221
"50.31.164.147",2216
"50.31.164.148",2209
"50.31.164.149",2195
"50.31.164.145",2091
"66.208.14.74",1615
"54.225.209.18",1516
"54.225.184.147",1507
"54.225.187.164",1505
"107.20.232.91",1495
"54.221.226.108",1493
"54.225.177.135",1485
"54.225.183.91",1484
"54.243.248.233",1483
"107.22.160.247",1481
"54.225.213.216",1479
"107.21.120.106",1478
"174.129.226.29",1478
"54.243.49.131",1474
"107.20.171.94",1473
"107.20.244.26",1472
"107.21.124.148",1468
"54.225.194.145",1463
"54.235.188.88",1462
"54.225.214.228",1453
"54.243.194.58",1452
"54.243.200.180",1452
"107.20.213.173",1449
"50.19.95.173",1449
"54.243.169.194",1449
"54.243.169.121",1442
"174.129.34.194",1441
"107.20.162.135",1439
"54.225.154.127",1439
"23.23.131.159",1437
"50.19.242.49",1437
"23.21.217.146",1436
"23.21.221.66",1436
"23.21.92.126",1436
"54.225.245.134",1435
"23.23.189.219",1430
"50.19.114.254",1429
"107.21.225.240",1428
"174.129.220.85",1428
"54.243.131.165",1428
"54.197.233.245",1427
"174.129.13.225",1426
"184.73.192.62",1425
"107.21.245.13",1424
"23.21.236.37",1424
"23.21.249.185",1423
"54.243.88.99",1423
"23.23.91.100",1421
"23.21.56.220",1419
"23.23.95.200",1417
"54.225.216.202",1415
"54.225.144.0",1414
"54.197.232.33",1410
"50.16.209.63",1408
"50.19.252.137",1408
"54.235.251.67",1405
"23.23.73.28",1404
"54.243.126.149",1404
"107.22.228.110",1403
"23.21.73.164",1400
"54.225.169.93",1398
"50.16.188.192",1391
"54.225.118.197",1390
"54.225.223.2",1390
"54.83.62.35",1381
